Date;Heure;No Vol;Aeronef;OD;Secteur
samedi;07:55;AA581;E90;ORD;T
samedi;07:55;AW8704;DH4;YQB;D
samedi;08:00;AA403;320;YYZ;D
samedi;08:00;AA797;320;LAX;T
samedi;08:00;AA974;319;BGI;I
samedi;08:00;AY802;DH3;YZG;D
samedi;08:00;BC7556;E75;YHZ;D
samedi;08:00;AX454;DH4;YTZ;D
samedi;08:00;AG24;73H;FLL;T
samedi;08:00;AG426;73H;PUJ;I
samedi;08:00;AB672;333;CUN;I
samedi;08:00;AU1054;736;FLL;T
samedi;08:05;BK3351;ER4;LGA;T
samedi;08:15;AA331;320;YEG;D
samedi;08:15;AW8500;DH3;YFC;D
samedi;08:20;BC1726;319;PTP;I
samedi;08:25;AW8490;CR9;EWR;T
samedi;08:25;AW8696;DH1;YZV;D
samedi;08:30;AA317;320;YYC;D
samedi;08:30;BC1890;319;PHX;T
samedi;08:30;AW7955;DH4;YTZ;D
samedi;08:35;BC7632;E75;LGA;T
samedi;08:40;BC1855;319;LAS;T
samedi;08:40;BC7526;E75;YYT;D
samedi;08:45;AW8454;CR9;BOS;T
samedi;08:45;AW8822;CR2;YQM;D
samedi;08:50;AW8682;DH3;YBG;D
samedi;08:55;BC7703;E75;IAH;T
samedi;08:57;BL3673;E7W;EWR;T
samedi;09:00;AA405;320;YYZ;D
samedi;09:00;AA940;320;NAS;I
samedi;09:00;AW8706;DH3;YGR;D
samedi;09:00;AW8755;DH1;YUY;D
samedi;09:05;AW8968;DH1;YYY;D
samedi;09:20;BC7300;BEH;BDL;T
samedi;09:20;AW8751;DH3;YVO;D
samedi;09:25;BI3451;DH4;YHZ;D
samedi;09:30;AY704;73M;YPX;D
samedi;09:30;AG519;73H;CUN;I
samedi;09:40;AA1252;320;PLS;I
samedi;09:45;BJ4714;ER4;IAD;T
samedi;09:45;AX459;DH4;YHZ;D
samedi;10:00;AA407;7M8;YYZ;D
samedi;10:00;BB864;73Q;YVP;D
samedi;10:00;BI3523;DH4;YYZ;D
samedi;10:01;AD681;73H;MEX;I
samedi;10:30;AW7959;DH4;YTZ;D
samedi;10:40;BC7634;E75;LGA;T
samedi;10:40;AX462;DH4;YTZ;D
samedi;10:55;BC7593;E75;ORD;T
samedi;11:00;BI3525;DH4;YYZ;D
samedi;11:10;BC1602;76W;FLL;T
samedi;11:15;BJ4742;ER4;ORD;T
samedi;11:25;AW8969;DH4;YOW;D
samedi;11:59;BG3845;CR2;JFK;T
samedi;12:00;AA411;320;YYZ;D
samedi;12:00;AX466;DH4;YQT;D
samedi;12:00;BI3527;DH4;YYZ;D
samedi;12:05;AW8710;DH1;YZV;D
samedi;12:15;BI3432;DH4;YQB;D
samedi;12:24;BN3130;CR2;ORD;T
samedi;12:26;BF6282;CR7;DTW;T
samedi;12:30;AW7963;DH4;YTZ;D
samedi;12:40;BC7558;E75;YHZ;D
samedi;13:00;AB228;332;PUJ;I
samedi;13:00;AU1088;73W;MCO;T
samedi;13:02;BP5537;CR7;ATL;T
samedi;13:05;AW8456;CR2;BOS;T
samedi;13:10;AW8502;DH1;YFC;D
samedi;13:10;AW8712;DH3;YQB;D
samedi;13:15;AW8511;CR2;YYG;D
samedi;13:16;BK3952;ER4;JFK;T
samedi;13:25;AW8595;CR9;YWG;D
samedi;13:30;BC7636;E75;LGA;T
samedi;13:30;AW8492;CR9;EWR;T
samedi;13:30;AW8971;DH4;YOW;D
samedi;13:40;AW8030;CR2;PHL;T
samedi;13:40;AW8900;DH4;YQM;D
samedi;13:41;BP5475;CR7;LGA;T
samedi;13:45;AW8824;CR2;DCA;T
samedi;13:45;AX469;DH4;YHZ;D
samedi;13:45;BH4510;E75;PHL;T
samedi;13:55;BC7595;E75;ORD;T
samedi;13:55;AW8740;DH1;ZBF;D
samedi;14:00;AA415;320;YYZ;D
samedi;14:00;AA664;319;YHZ;D
samedi;14:00;BC1610;76W;FLL;T
samedi;14:00;BI3529;DH4;YYZ;D
samedi;14:05;AA305;320;YVR;D
samedi;14:10;AA17;788;PVG;I
samedi;14:10;AW8714;DH1;YQB;D
samedi;14:25;AW8172;CR2;IAD;T
samedi;14:30;AW7967;DH4;YTZ;D
samedi;14:35;AW8684;DH3;YBG;D
samedi;14:40;AA1071;E90;DEN;T
samedi;14:40;AX472;DH4;YTZ;D
samedi;14:40;AG122;73H;PUJ;I
samedi;14:40;AB998;313;POP;I
samedi;15:00;AW8987;DH1;YOW;D
samedi;15:05;AW8716;DH4;YQB;D
samedi;15:15;AW8786;DH3;YSJ;D
samedi;15:30;BC7638;E75;LGA;T
samedi;15:35;BP5107;CR9;ATL;T
samedi;15:45;AG606;73H;CCC;I
samedi;15:50;AW8460;CR2;BOS;T
samedi;15:55;AO163;320;CFG;I
samedi;15:55;AG792;73H;MBJ;I
samedi;15:55;AB616;73H;CUN;I
samedi;15:55;AB808;73H;CYO;I
samedi;16:00;AA419;7M8;YYZ;D
samedi;16:00;AW8821;CR2;YHM;D
samedi;16:00;AW8902;DH4;YQM;D
samedi;16:00;AB628;320;PUJ;I
samedi;16:00;BI3516;DH4;YQB;D
samedi;16:00;BI3531;DH4;YYZ;D
samedi;16:05;AB992;320;CZM;I
samedi;16:10;AF880;789;PEK;I
samedi;16:10;BC1750;319;CCC;I
samedi;16:10;BC7560;E75;YHZ;D
samedi;16:10;AW8718;DH3;YQB;D
samedi;16:15;BC7302;BEH;BDL;T
samedi;16:15;AP203;332;TUN;I
samedi;16:20;AA321;320;YYC;D
samedi;16:20;BC1746;319;VRA;I
samedi;16:20;BC1768;319;SNU;I
samedi;16:25;BI3610;DH4;BOS;T
samedi;16:30;BC1606;76W;FLL;T
samedi;16:30;AW7971;DH4;YTZ;D
samedi;16:40;AW8975;CR9;YOW;D
samedi;16:45;AA307;320;YVR;D
samedi;16:45;AW8494;CR2;EWR;T
samedi;16:45;AG688;73H;VRA;I
samedi;16:50;BM4899;ER4;PHL;T
samedi;16:51;BF6245;CR7;DTW;T
samedi;16:55;AA783;320;LAX;T
samedi;17:00;AA835;333;YYZ;D
samedi;17:00;BC1942;76W;LIM;I
samedi;17:00;AW8722;DH4;YQB;D
samedi;17:10;AA781;320;SFO;T
samedi;17:10;BC1652;321;MIA;T
samedi;17:10;BC7685;E75;IAH;T
samedi;17:19;BO4194;ER4;EWR;T
samedi;17:20;BN3126;CR2;ORD;T
samedi;17:30;BC1636;76W;MCO;T
samedi;17:30;AW8013;CR2;YOW;D
samedi;17:45;BC7640;E75;LGA;T
samedi;17:45;AX478;DH4;YTZ;D
samedi;17:59;BK3587;ER4;JFK;T
samedi;18:00;AA423;320;YYZ;D
samedi;18:00;AW8597;CR9;YWG;D
samedi;18:00;AW8726;DH3;YQB;D
samedi;18:00;AW8973;DH4;YOW;D
samedi;18:00;AJ87;333;ZRH;I
samedi;18:00;AB528;73H;CCC;I
samedi;18:00;BI3535;DH4;YYZ;D
samedi;18:05;AW8462;CR2;BOS;T
samedi;18:10;BJ4738;ER4;ORD;T
samedi;18:10;AB938;73H;MCO;T
samedi;18:25;AA668;E90;YHZ;D
samedi;18:25;AA874;77W;FRA;I
samedi;18:30;BC7597;E75;ORD;T
samedi;18:30;AW7975;DH4;YTZ;D
samedi;18:30;AV1124;AT3;FSP;I
samedi;18:40;AR2701;330;ALG;I
samedi;18:45;AA670;320;YHZ;D
samedi;18:55;AA323;319;YYC;D
samedi;18:55;BC1857;319;LAS;T
samedi;18:55;BC7628;E75;LGA;T
samedi;18:55;BI3453;DH4;YHZ;D
samedi;19:00;AA425;320;YYZ;D
samedi;19:05;AW8985;CR9;YOW;D
samedi;19:10;AC347;77W;CDG;I
samedi;19:10;AW8728;DH4;YQB;D
samedi;19:15;AA309;320;YVR;D
samedi;19:26;AS6228;CR7;IAD;T
samedi;20:00;AA427;320;YYZ;D
samedi;20:00;BC1608;76W;FLL;T
samedi;20:00;BC7642;E75;LGA;T
samedi;20:00;AW8032;CR2;PHL;T
samedi;20:00;AW8464;CR9;BOS;T
samedi;20:00;AW8496;CR2;EWR;T
samedi;20:00;AW8826;CR2;DCA;T
samedi;20:00;BI3434;DH4;YQB;D
samedi;20:00;BI3539;DH4;YYZ;D
samedi;20:01;AI672;332;AMS;I
samedi;20:05;AW8549;CR2;YYG;D
samedi;20:05;AW8904;DH4;YQM;D
samedi;20:10;BC7530;E75;YYT;D
samedi;20:40;AW8506;DH3;YFC;D
samedi;20:45;AA828;333;LYS;I
samedi;20:50;AW8761;DH1;YUY;D
samedi;20:55;AA832;788;BRU;I
samedi;20:55;AA864;789;LHR;I
samedi;20:55;BC7566;E75;YHZ;D
samedi;20:55;AW8730;DH4;YQB;D
samedi;21:00;AA870;77W;CDG;I
samedi;21:00;AW8989;DH4;YOW;D
samedi;21:10;AW8792;DH3;YSJ;D
samedi;21:15;AA311;788;YVR;D
samedi;21:50;AA834;333;GVA;I
samedi;21:55;AH94;788;LHR;I
samedi;22:00;AB610;333;CDG;I
samedi;22:45;AE209;788;CMN;I
samedi;22:55;AW8732;DH4;YQB;D
samedi;23:10;AC345;77W;CDG;I
samedi;23:10;AD637;73H;MEX;I
dimanche;05:30;BP5083;CR9;DTW;T
dimanche;05:30;BC7561;E75;YYZ;D
dimanche;05:45;BG4087;CR9;ATL;T
dimanche;06:00;BE2438;73H;MIA;T
dimanche;06:00;AA481;7M8;YYZ;D
dimanche;06:00;AO177;320;CCC;I
dimanche;06:00;BG3700;CR9;MSP;T
dimanche;06:00;BC1634;319;MCO;T
dimanche;06:00;BC1882;76W;CUN;I
dimanche;06:00;BC1986;321;PUJ;I
dimanche;06:00;BH4571;E75;PHL;T
dimanche;06:00;AG470;73H;POP;I
dimanche;06:00;AB972;320;AZS;I
dimanche;06:00;BI3513;DH4;YYZ;D
dimanche;06:12;BJ4728;ER4;ORD;T
dimanche;06:30;AA485;320;YYZ;D
dimanche;06:30;AB934;73H;FLL;T
dimanche;06:30;BI3543;DH4;YYZ;D
dimanche;06:35;BK3351;ER4;LGA;T
dimanche;06:40;BL3669;E7W;EWR;T
dimanche;06:45;BK3533;E75;DFW;T
dimanche;06:45;BC1600;76W;FLL;T
dimanche;07:00;AA401;320;YYZ;D
dimanche;07:00;BP5489;CR7;LGA;T
dimanche;07:00;AB404;73H;MBJ;I
dimanche;07:00;AB730;320;CUN;I
dimanche;07:15;BG3833;CR9;JFK;T
dimanche;07:15;AG62;73H;FLL;I
dimanche;07:15;BI3652;DH4;BOS;T
dimanche;07:25;AA301;333;YVR;D
dimanche;07:25;BH4718;E75;CLT;T
dimanche;07:30;AA1210;320;PBI;T
dimanche;07:40;BC1618;319;TPA;T
dimanche;07:40;BC1650;319;MIA;T
dimanche;07:40;BC1842;76W;PVR;I
dimanche;07:40;AW8671;CR2;YOW;D
dimanche;07:45;AA1268;320;RSW;T
dimanche;07:45;AZ907;DH1;YKQ;D
dimanche;07:45;AW8593;CR9;YWG;D
dimanche;07:45;AW8819;CR2;YHM;D
dimanche;07:45;AB398;333;PUJ;I
dimanche;07:45;AB962;73H;FDF;I
dimanche;07:45;BI3448;DH4;YQB;D
dimanche;07:45;AU2816;73H;CUN;I
dimanche;07:50;AB194;73H;TPA;T
dimanche;07:50;AB890;313;PTP;I
dimanche;07:55;AA581;E90;ORD;T
dimanche;07:55;AW8704;DH4;YQB;D
dimanche;08:00;AA403;320;YYZ;D
dimanche;08:00;AA797;320;LAX;T
dimanche;08:00;AA974;319;BGI;I
dimanche;08:00;AY802;DH3;YZG;D
dimanche;08:00;BC7556;E75;YHZ;D
dimanche;08:00;AG434;73H;PUJ;I
dimanche;08:00;AU1054;73W;FLL;T
dimanche;08:10;AN5821;320;CUN;I
dimanche;08:15;AA331;319;YEG;D
dimanche;08:15;AW8500;DH3;YFC;D
dimanche;08:20;BC7727;E75;DFW;T
dimanche;08:20;AX454;DH4;YQT;D
dimanche;08:25;AW8696;DH1;YZV;D
dimanche;08:30;AA317;320;YYC;D
dimanche;08:30;BC1728;319;FDF;I
dimanche;08:30;AW7955;DH4;YTZ;D
dimanche;08:30;AB784;332;CUN;I
dimanche;08:35;BC7632;E75;LGA;T
dimanche;08:40;BC1855;319;LAS;T
dimanche;08:40;BC7526;E75;YYT;D
dimanche;08:45;AA761;320;SFO;T
dimanche;08:45;AW8822;CR2;YQM;D
dimanche;08:45;BI3521;DH4;YYZ;D
dimanche;08:50;AW8682;DH3;YBG;D
dimanche;08:55;BC7703;E75;IAH;T
dimanche;09:00;AA405;320;YYZ;D
dimanche;09:00;BC1892;319;CUN;I
dimanche;09:00;AW8706;DH3;YGR;D
dimanche;09:00;AG734;73H;MBJ;I
dimanche;09:05;AW8968;DH1;YYY;D
dimanche;09:09;BL3673;E7W;EWR;T
dimanche;09:10;AS423;73H;PTY;I
dimanche;09:15;AG114;73H;ANU;I
dimanche;09:20;BC7300;BEH;BDL;T
dimanche;09:20;AW8751;DH1;YVO;D
dimanche;09:25;BI3451;DH4;YHZ;D
dimanche;09:30;AY704;73M;YPX;D
dimanche;09:30;AN2821;320;CUN;I
dimanche;09:30;AG537;73H;CUN;I
dimanche;09:40;AX460;DH4;YTZ;D
dimanche;09:45;BJ4714;ER4;IAD;T
dimanche;10:00;AA407;7M8;YYZ;D
dimanche;10:00;BB864;73Q;YVP;D
dimanche;10:00;AB662;313;PAP;I
dimanche;10:00;BI3523;DH4;YYZ;D
dimanche;10:01;AD681;73H;MEX;I
dimanche;10:30;AW7959;DH4;YTZ;D
dimanche;10:35;BP5415;CR7;LGA;T
dimanche;10:40;BC7634;E75;LGA;T
dimanche;10:55;BC7593;E75;ORD;T
dimanche;11:00;AA409;320;YYZ;D
dimanche;11:00;BI3525;DH4;YYZ;D
dimanche;11:10;BC1602;76W;FLL;T
dimanche;11:15;AA966;320;MBJ;I
dimanche;11:15;BJ4742;ER4;ORD;T
dimanche;11:25;AW8969;DH1;YOW;D
dimanche;11:26;BK3750;ER4;LGA;T
dimanche;11:30;AW7961;DH4;YTZ;D
dimanche;11:30;BM4900;ER4;PHL;T
dimanche;11:59;BG3845;CR2;JFK;T
dimanche;12:00;AA411;320;YYZ;D
dimanche;12:00;BI3527;DH4;YYZ;D
dimanche;12:05;AW8710;DH1;YZV;D
dimanche;12:10;AX466;DH4;YQG;D
dimanche;12:15;BI3432;DH4;YQB;D
dimanche;12:23;BN3130;CR2;ORD;T
dimanche;12:26;BF6282;CR7;DTW;T
dimanche;12:30;AW7963;DH4;YTZ;D
dimanche;12:40;BC7558;E75;YHZ;D
dimanche;13:00;AA413;320;YYZ;D
dimanche;13:02;BG3751;CR9;ATL;T
dimanche;13:05;AW8456;CR2;BOS;T
dimanche;13:10;AW8502;DH3;YFC;D
dimanche;13:10;AW8712;DH3;YQB;D
dimanche;13:10;AX470;DH4;YTZ;D
dimanche;13:12;BG3763;CR9;LGA;T
dimanche;13:15;AW8511;CR2;YYG;D
dimanche;13:17;BK3952;ERD;JFK;T
dimanche;13:20;AX469;DH4;YHZ;D
dimanche;13:25;AW8595;CR9;YWG;D
dimanche;13:30;BC7304;BEH;BDL;T
dimanche;13:30;BC7636;E75;LGA;T
dimanche;13:30;AW8492;CR9;EWR;T
dimanche;13:30;AW8971;DH4;YOW;D
dimanche;13:40;AW8030;CR2;PHL;T
dimanche;13:40;AW8900;DH4;YQM;D
dimanche;13:45;AW8824;CR9;DCA;T
dimanche;13:45;BH4510;E75;PHL;T
dimanche;13:55;BC7595;E75;ORD;T
dimanche;13:55;AW8740;DH1;ZBF;D
dimanche;14:00;AA415;320;YYZ;D
dimanche;14:00;AA664;319;YHZ;D
dimanche;14:00;BC1610;76W;FLL;T
dimanche;14:00;BI3529;DH4;YYZ;D
dimanche;14:05;AA305;320;YVR;D
dimanche;14:10;AA17;788;PVG;I
dimanche;14:10;AW8714;DH1;YQB;D
dimanche;14:15;AX472;DH4;YTZ;D
dimanche;14:25;AW8172;CR2;IAD;T
dimanche;14:30;AZ903;DH1;YMT;D
dimanche;14:30;AW7967;DH4;YTZ;D
dimanche;14:35;BC1758;319;POP;I
dimanche;14:35;AW8684;DH3;YBG;D
dimanche;14:40;AA1071;E90;DEN;T
dimanche;15:00;AA417;7M8;YYZ;D
dimanche;15:05;AW8716;DH4;YQB;D
dimanche;15:15;AW8786;DH3;YSJ;D
dimanche;15:25;AX474;DH4;YTZ;D
dimanche;15:30;BC7638;E75;LGA;T
dimanche;15:30;AW7969;DH4;YTZ;D
dimanche;15:35;BP5107;CR9;ATL;T
dimanche;15:50;AW8460;CR2;BOS;T
dimanche;15:55;AO165;320;CYO;I
dimanche;15:55;AB492;73H;VRA;I
dimanche;16:00;AA419;320;YYZ;D
dimanche;16:00;AW8757;DH1;YUY;D
dimanche;16:00;AW8821;CR2;YHM;D
dimanche;16:00;AW8902;DH4;YQM;D
dimanche;16:00;AW8964;DH1;YBC;D
dimanche;16:00;BI3516;DH4;YQB;D
dimanche;16:00;BI3531;DH4;YYZ;D
dimanche;16:10;AF880;789;PEK;I
dimanche;16:10;BC1750;319;CCC;I
dimanche;16:10;BC7560;E75;YHZ;D
dimanche;16:10;AW8718;DH3;YQB;D
dimanche;16:15;BC7302;BEH;BDL;T
dimanche;16:15;AX476;DH4;YTZ;D
dimanche;16:15;AB906;320;PUJ;I
dimanche;16:20;AA321;320;YYC;D
dimanche;16:20;BC1746;319;VRA;I
dimanche;16:25;BI3610;DH4;BOS;T
dimanche;16:30;AA435;333;YYZ;D
dimanche;16:30;BC1606;76W;FLL;T
dimanche;16:30;AW7971;DH4;YTZ;D
dimanche;16:35;AG652;73H;VRA;I
dimanche;16:40;AW8975;CR9;YOW;D
dimanche;16:45;AA307;320;YVR;D
dimanche;16:45;AW8494;CR2;EWR;T
dimanche;16:45;BA1910;DH1;YZV;D
dimanche;16:50;BM4899;ER4;PHL;T
dimanche;16:50;AB908;73H;HOG;I
dimanche;16:51;BG3771;CR9;JFK;T
dimanche;16:55;AA783;320;LAX;T
dimanche;17:00;AA835;333;YYZ;D
dimanche;17:00;AW8722;DH4;YQB;D
dimanche;17:00;BI3533;DH4;YYZ;D
dimanche;17:00;AU543;73W;YVR;D
dimanche;17:10;AA781;320;SFO;T
dimanche;17:10;BC1652;321;MIA;T
dimanche;17:10;BC7685;E75;IAH;T
dimanche;17:15;AX478;DH4;YTZ;D
dimanche;17:15;AG308;73H;SNU;I
dimanche;17:19;BO4194;ER4;EWR;T
dimanche;17:20;BC7597;E75;ORD;T
dimanche;17:20;BN3126;CR2;ORD;T
dimanche;17:25;AW8753;DH3;YVO;D
dimanche;17:30;BP5479;CR7;LGA;T
dimanche;17:30;BC1636;76W;MCO;T
dimanche;17:30;AW7973;DH4;YTZ;D
dimanche;17:30;AW8013;CR2;YOW;D
dimanche;17:40;AW8698;DH1;YWK;D
dimanche;17:45;BC7640;E75;LGA;T
dimanche;17:45;AU217;73W;YYC;D
dimanche;17:58;BF6245;CR7;DTW;T
dimanche;17:59;BK3587;ER4;JFK;T
dimanche;18:00;AA423;320;YYZ;D
dimanche;18:00;AW8597;CR9;YWG;D
dimanche;18:00;AW8726;DH3;YQB;D
dimanche;18:00;AW8973;DH4;YOW;D
dimanche;18:00;AJ87;333;ZRH;I
dimanche;18:00;BI3535;DH4;YYZ;D
dimanche;18:05;AW8462;CR2;BOS;T
dimanche;18:10;BJ4738;ER4;ORD;T
dimanche;18:10;AB472;73H;YYZ;D
dimanche;18:15;BK3600;ERD;LGA;T
dimanche;18:15;AX480;DH4;YQG;D
dimanche;18:25;AA668;E90;YYT;D
dimanche;18:25;AA874;77W;FRA;I
dimanche;18:25;BD1643;717;ATL;T
dimanche;18:30;AA309;320;YVR;D
dimanche;18:30;AW7975;DH4;YTZ;D
dimanche;18:40;AW8759;DH1;YUY;D
dimanche;18:45;AA670;320;YHZ;D
dimanche;18:55;AA323;319;YYC;D
dimanche;18:55;AA335;320;YEG;D
dimanche;18:55;BC1857;319;LAS;T
dimanche;18:55;BC7628;E75;LGA;T
dimanche;18:55;BI3453;DH4;YHZ;D
dimanche;18:55;AL252;32B;KEF;I
dimanche;19:00;AA425;321;YYZ;D
dimanche;19:00;BC1936;76W;CMN;I
dimanche;19:05;AW8985;CR9;YOW;D
dimanche;19:10;AW8728;DH4;YQB;D
dimanche;19:10;AX483;DH4;YTM;D
dimanche;19:10;AX484;DH4;YQT;D
dimanche;19:15;AA892;333;FCO;I
dimanche;19:26;AS6228;CR7;IAD;T
dimanche;19:30;AW7977;DH4;YTZ;D
dimanche;19:30;AU597;73H;YYZ;D
dimanche;20:00;AA427;320;YYZ;D
dimanche;20:00;BC1608;76W;FLL;T
dimanche;20:00;BC7599;E75;ORD;T
dimanche;20:00;BC7642;E75;LGA;T
dimanche;20:00;AW8032;CR2;PHL;T
dimanche;20:00;AW8464;CR9;BOS;T
dimanche;20:00;AW8496;CR9;EWR;T
dimanche;20:00;AW8826;CR2;DCA;T
dimanche;20:00;AX485;DH4;YHZ;D
dimanche;20:00;BI3434;DH4;YQB;D
dimanche;20:00;BI3539;DH4;YYZ;D
dimanche;20:01;AI672;332;AMS;I
dimanche;20:05;AW8549;CR2;YYG;D
dimanche;20:05;AW8904;DH4;YQM;D
dimanche;20:10;BC7530;E75;YYT;D
dimanche;20:30;AK475;333;MUC;I
dimanche;20:30;AW7979;DH4;YTZ;D
dimanche;20:35;AX488;DH4;YTZ;D
dimanche;20:40;AW8506;DH3;YFC;D
dimanche;20:50;AW8761;DH3;YUY;D
dimanche;20:55;AA832;788;BRU;I
dimanche;20:55;AA864;789;LHR;I
dimanche;20:55;BC7566;E75;YHZ;D
dimanche;20:55;AW8730;DH4;YQB;D
dimanche;20:55;AW8742;DH1;ZBF;D
dimanche;21:00;AA429;7M8;YYZ;D
dimanche;21:00;AA870;77W;CDG;I
dimanche;21:00;AW8989;DH4;YOW;D
dimanche;21:10;AW8792;DH3;YSJ;D
dimanche;21:10;AQ764;77W;DOH;I
dimanche;21:15;AA311;788;YVR;D
dimanche;21:30;AW8686;DH1;YBG;D
dimanche;21:50;AA834;333;GVA;I
dimanche;21:55;AH94;788;LHR;I
dimanche;22:00;AB710;333;CDG;I
dimanche;22:00;BI3541;DH4;YYZ;D
dimanche;22:30;AN2811;320;MEX;I
dimanche;22:40;AM36;333;IST;I
dimanche;22:45;AE209;788;CMN;I
dimanche;22:55;AW8732;DH4;YQB;D
dimanche;23:10;AC345;77W;CDG;I
dimanche;23:10;AD637;73H;MEX;I
